depth,temp
-4500,$RAVEN-temp$
-2500,287
-2400,286.9
-2200,286.7
-2000,286.5
-1800,286.3
-1600,286.1
-1500,285.8
-1400,284.8
-1300,283.2
-1200,280
-1100,275.4
-1000,270
-950,267
-900,262.7
-850,257.5
-800,252.4
-750,247
-725,243.5
-700,239.5
-680,235
-666.82,231.09
-652.88,227.18
-641.27,223.31
-629.74,219.04
-618.57,214.44
-599.99,205.9
-590.67,201.65
-574.57,193.19
-546.48,178.12
-521.15,163.07
-499.72,150.66
-490.84,145.19
-481.49,140
-474.46,137
-462.75,132.38
-451.58,127.89
-435,121.56
-423.11,117.05
-404.94,110.16
-400.26,108.69
-393.21,106.27
-379.12,102.18
-369.8,99.68
-360.88,97.3
-351.37,94.89
-339.37,91.53
-329.85,88.94
-320.84,86.09
-311.51,83.21
-302.06,80.21
-295.04,78.14
-290.35,76.42
-285.66,74.8
-281.41,73.14
-271.87,69.67
-269.47,68.65
-262.28,66.07
-257.47,64.03
-252.6,62.37
-245.34,59.41
-240.67,57.61
-238.34,56.61
-233.66,54.66
-231.32,53.97
-224.27,51.64
-221.93,50.97
-217.73,49.5
-215.4,48.94
-208.35,47.02
-205.98,46.62
-201.22,45.5
-191.6,43.73
-184.34,42.75
-179.53,42.21
-174.78,41.8
-167.74,41.29
-160.68,40.77
-155.95,40.3
-148.88,39.39
-145,38.6
-140,37
-135.6,35.8
-132.5,35.228
-126.5,34.565
-122.5,34.068
-114.2,33.241
-108.8,32.414
-106.5,32.083
-101.5,31.367
-97.2,30.706
-90.2,30.321
-85.6,30.321
-83,30.706
-79.6,31.036
-76.3,31.091
-71.7,31.147
-68,31.477
-64.7,31.973
-61.7,32.303
-58.4,31.863
-54.4,30.926
-50.1,29.441
-44.2,26.694
-42.2,25.707
-40.2,24.83
-36.9,23.079
-32,20.621
-30.6,20.294
-24.6,18.713
-22.9,18.169
-20.2,17.407
-17.5,15.831
-16.1,14.909
-14.8,13.824
-13.1,13.878
-10.4,12.417
-8,10.417
-5,8.422
-1.8,7.238
0,7.077
