depth,temp
2503,22.07
2597,22.79
2691,23.49
2786,24.23
2869,24.85
2947.5,25.09
3031,25.65
3117,26.35
3202.5,26.87
3288,27.39
3399.5,29.05
3406.5,29.16
3487.5,34.65
3567.5,44.22
3648,55.1
3727.5,65.96
3807,78.64
3886,91.13
3965,104.36
4043,116.79
4121.5,130.93
4199.5,142.96
4203.5,144.45
4220.5,148.53
4238,152.12
4255,156.36
4272,160.24
4289,163.81
4306.5,168.4
4323.5,172.37
4340.5,176.58
4357.5,181
4374.5,186.68
4378.5,189.69
4390.5,199.55
4402.5,211.81
4414.5,224.99
4427,234.98
4439,246.44
4451,256.67
4463,266.02
4475,275.24
4487,281.5
4499,287.09
