grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44,ProbabilityWeight-fls1,ProbabilityWeight-grad,ProbabilityWeight-fls2,ProbabilityWeight,ProbabilityWeight-fls3,PointProbability,prefix
0.1938477897,0.1048039749,0.1652708175,0.4387875133,22.0445826471,22.6465530436,23.2753817012,23.9543848077,24.5436071526,25.1377069335,25.7493728738,26.4407950594,27.1619966627,27.8908031226,28.9009284153,29.5901682073,38.9302455785,48.752542734,59.6746691886,71.1848183108,83.312199363,95.938831608,109.029311583,122.324450858,135.926351633,148.562354841,152.906100386,174.355486938,195.277643695,215.052585791,234.245148253,252.503151943,269.668586877,284.492969955,297.834924067,309.952239824,319.52347437,322.793385418,333.194241749,342.432013013,350.539139333,360.020227512,372.414335685,387.29382115,402.494547397,417.101982542,431.063686266,444.368994024,1.0,1.0,1.0,1.0,1.0,1.0,1
0.0016873784,0.1056652292,0.5363121399,0.8568655018,22.0714761249,22.6527307047,23.242978541,23.844458485,24.3429424049,24.8181734365,25.3060777317,25.8233805608,26.3347659109,26.8525347521,27.5415921283,28.0096403476,34.2310593806,40.6330309795,47.5929563757,54.7092968608,61.928915681,69.0914597871,76.1727601702,83.0239565178,89.7279241523,95.7601756991,96.3527217744,99.1237553072,101.861299767,104.482201554,107.087530238,109.698762253,112.37439006,114.917626934,117.419319287,119.885652346,121.975679207,122.575354674,124.543279186,126.72437925,128.631764788,130.557746537,132.508569521,134.450884389,136.303383679,138.113312548,139.912826713,141.705186385,1.0,1.0,1.0,1.0,1.0,1.0,2
0.1443041657,0.0842951038,0.4960433132,0.4140564665,22.0469243018,22.6510517886,23.2707958655,23.9250843935,24.5021093829,25.0567171505,25.6521982017,26.2870594375,26.9446041879,27.6170197286,28.5446000798,29.3396558466,40.0964688401,51.4919952794,64.1914876613,77.5022239698,91.414464193,105.679094808,120.187253001,134.573529145,148.885778253,161.948974899,163.420633117,170.356218478,177.211855834,183.78605927,190.294248052,196.725886177,203.240166562,209.483331733,215.690020285,221.88080607,227.15804545,230.470514132,241.436762309,252.008452369,262.281528426,272.620643393,282.296420607,291.501256689,300.088513591,308.105107392,315.666765705,322.84800302,1.0,1.0,1.0,1.0,1.0,1.0,3
0.0953651945,0.0914067728,0.5979701153,0.7486251799,22.0578498614,22.6410545848,23.2579123054,23.9004978833,24.441161697,24.9637595513,25.5217304715,26.1188159017,26.7162309815,27.3411282626,28.1818338122,28.8499706317,37.8672069055,47.3221373982,57.7846632043,68.6475821315,79.8764242285,91.2712847818,102.804153304,114.189142387,125.489803638,135.790259439,136.755691872,141.271090707,145.752568646,150.0738581,154.368364895,158.630134927,162.95089449,167.095705391,171.223167474,175.344730844,178.865950522,180.086365687,184.024742453,187.841109229,191.605586684,195.580168216,199.375484215,203.08568959,206.783980304,210.507298683,214.23549415,217.997525506,1.0,1.0,1.0,1.0,1.0,1.0,4
0.0364746744,0.0813038059,0.3311342454,0.1292347095,22.0272796638,22.6434747568,23.2131824695,23.8154364194,24.3470716811,24.8408195809,25.3379318553,25.8713172057,26.4436195509,26.967540426,27.7190778455,28.3807866332,37.3415353235,46.8095484467,57.144596018,67.6973619179,78.3619987302,88.962417535,99.306969283,109.278957884,118.933273623,127.481871211,129.000609103,136.189458832,143.077201517,149.535682953,155.743287895,161.630106663,167.255101344,172.456088016,177.519724989,182.417324222,186.500521654,191.199110115,206.041575522,217.803883841,229.338334745,242.245924856,255.010676411,267.018325973,277.565174778,286.524199436,294.200275057,300.840527885,1.0,1.0,1.0,1.0,1.0,1.0,5
0.144942214,0.1045420046,0.625890297,0.8584166365,22.0517912978,22.6466683021,23.2717448168,23.9317672433,24.5031984194,25.0576441875,25.6527906611,26.2938359651,26.9476870156,27.6292655443,28.5573870214,29.1952313463,37.7578784566,46.7015869672,56.6307117523,67.0459772724,77.9633414128,89.2277818875,100.839122527,112.54553141,124.406321811,135.402797074,136.400531248,141.071005323,145.725595473,150.231044409,154.728316199,159.216099403,163.780798864,168.165320563,172.546577215,176.956569329,180.727579518,181.88671684,185.609770272,189.276232554,192.907748972,196.674845431,200.354983648,204.002460281,207.546895616,211.029000337,214.496122198,217.981872545,1.0,1.0,1.0,1.0,1.0,1.0,6
0.1763124088,0.0975587643,0.612681977,0.8064982075,22.0769035258,22.6688510783,23.3068369949,23.9827242481,24.5666827333,25.1389201796,25.7594059964,26.4303431762,27.1111058731,27.8339951133,28.8125940745,29.5400923466,39.3528916871,49.6634070208,61.1664999045,73.2683504337,85.9928248114,99.1533513321,112.753120897,126.4496405,140.301214806,153.128382073,154.312966549,159.869226436,165.39246383,170.720652651,176.032582031,181.331020147,186.761676551,192.010756932,197.244345843,202.452555687,206.858130248,208.347325082,213.035701132,217.570662972,222.067027001,226.900227193,231.475866663,235.886253777,240.317647305,244.856888161,249.449398897,254.050819441,1.0,1.0,1.0,1.0,1.0,1.0,7
0.0668735124,0.1060233905,0.5509553947,0.4718316466,22.0517664404,22.6476521427,23.2499293713,23.8730208185,24.4117045187,24.9172549551,25.45926505,26.0227598562,26.5969740545,27.1800402319,27.9767746911,28.5201101308,35.7342273991,43.2075372687,51.4247426976,59.9407453905,68.7344613972,77.6554671502,86.6889861108,95.6625571144,104.620546008,112.833630074,113.673846213,117.614642334,121.540391915,125.325571771,129.072793796,132.799342923,136.581144408,140.188098698,143.743675362,147.264056343,150.243574547,151.944552908,157.623935045,163.137797532,168.680033183,174.257036834,179.488279828,184.786401334,190.06650061,195.239617373,200.286711544,205.178531024,1.0,1.0,1.0,1.0,1.0,1.0,8
0.0954985725,0.1060267306,0.4993699355,0.640563825,22.0511998691,22.6466580819,23.2584418157,23.8954625737,24.4473951873,24.9713342904,25.5354414806,26.1282510918,26.7317556258,27.3535350365,28.2006824324,28.7740990334,36.4123455728,44.3446792214,53.1028603274,62.2302271109,71.7228192122,81.4248648933,91.3326778158,101.245177639,111.212995847,120.41032434,121.427084792,126.227740025,131.007170509,135.619029608,140.205701282,144.785164707,149.457651103,153.943637373,158.389303824,162.805172045,166.550266508,168.158139985,173.435228065,178.446848902,183.507465976,188.835632081,193.956356413,198.946845981,203.699815909,208.276038256,212.730250319,217.045846436,1.0,1.0,1.0,1.0,1.0,1.0,9
0.1692824251,0.0910933267,0.1291528899,0.7216748722,22.0140356462,22.6332561242,23.255552312,23.9116702306,24.5138485786,25.0743897712,25.7015357956,26.3428993504,27.0204112036,27.7109751826,28.6804761029,29.4592992087,39.887378554,50.8957058353,63.1855615341,76.1061631863,89.6795371993,103.690048348,118.070079819,132.489771803,146.947869585,160.261797378,164.891366891,187.679471254,209.914930046,230.833208342,250.437086277,268.029597925,284.225288921,298.71766932,312.512660922,325.879592837,337.130571178,340.212589787,349.824497456,358.758088516,366.871452632,375.523431515,384.947952295,395.194934301,405.438532106,415.330013354,424.857278533,433.950021549,1.0,1.0,1.0,1.0,1.0,1.0,11
