simulation,grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44
1,0.1938477897,0.1048039749,0.1652708175,0.4387875133,22.0593339331,22.6625038781,23.2977076724,23.9748179643,24.5721654108,25.1555260693,25.7860508536,26.4669646065,27.1713506894,27.9037266846,28.9110677233,29.6066545077,38.9476091465,48.7392860937,59.6560168685,71.1703760552,83.3182819775,95.9476022134,109.070923988,122.4107169827,136.0303249707,148.7259362388,153.045200151,174.3853049981,195.2526636334,214.9897349454,234.1273416053,252.5254184264,270.1371419818,285.357517374,298.7798318192,310.6966419918,320.042151941,323.1239236898,332.9052090312,342.2454931794,350.9067713689,360.2124272048,372.3456970212,387.3552473648,402.6691510744,417.2213710273,431.0029784083,444.1058389152
2,0.0016873784,0.1056652292,0.5363121399,0.8568655018,22.0591456035,22.645141212,23.2322578636,23.8291733319,24.3301578779,24.8006702404,25.2891868051,25.7980092716,26.3051755435,26.8141269479,27.4973573498,27.9674451499,34.1899567634,40.5909945485,47.5508210916,54.6627052931,61.872986664,69.0259031781,76.0944029693,82.9354012171,89.611939109,95.6107839323,96.2183214642,99.0587172514,101.8686127111,104.5571049363,107.2042620627,109.8110266382,112.4527597071,114.9738621692,117.4644127231,119.9277925853,122.0219590654,122.6667206657,124.6945836998,126.6822157056,128.6377740239,130.6479238038,132.548637953,134.4230036278,136.2713593178,138.0940447379,139.8913924732,141.6636741834
3,0.1443041657,0.0842951038,0.4960433132,0.4140564665,22.0592853772,22.6580273608,23.2808331212,23.9372672386,24.5097699875,25.0640356129,25.6579472271,26.2944916642,26.948029687,27.622801393,28.5465806814,29.3471152773,40.1917299278,51.6799120718,64.475806723,77.8649930691,91.8343033924,106.1324985312,120.6607105334,135.0349410939,149.3122874886,162.3279560044,163.7881613941,170.6923526454,177.5361387738,184.1084456995,190.6041629354,197.0253111822,203.5582433014,209.8222210654,216.0381522894,222.2187276319,227.4755203015,230.7338116136,241.5328934202,251.9909000581,262.1338143231,272.3697044681,281.8570130123,291.0101272334,299.8113299801,308.1869069296,316.0183719323,323.22160953
4,0.0953651945,0.0914067728,0.5979701153,0.7486251799,22.0592374138,22.653605477,23.2641645145,23.9001747988,24.448136066,24.9736617471,25.5314070348,26.1241236591,26.7274341944,27.3453046398,28.1865387106,28.8567233263,37.8694844447,47.3315805077,57.7981923169,68.6723842005,79.9205254958,91.3478124663,102.9130491284,114.3435090805,125.6948228127,136.0354258488,136.9889897051,141.4452167781,145.8758014504,150.1408591325,154.3675906001,158.5567711677,162.8312637298,166.9403886295,171.029009078,175.1073983925,178.5758959859,179.8131651895,183.7728384572,187.669792574,191.5200119282,195.4941985677,199.2691800326,203.0074537232,206.709054552,210.3739538304,214.0020304635,217.592724491
5,0.0364746744,0.0813038059,0.3311342454,0.1292347095,22.0591796973,22.6482844203,23.2441064117,23.8555397562,24.3739691272,24.8649107084,25.3791353883,25.9191119852,26.4619814694,27.011380005,27.7532854569,28.4223067691,37.4401092332,46.9220353782,57.3025106192,67.881548012,78.5580566361,89.0998547493,99.4451733216,109.3654286684,118.9442240036,127.467018942,128.9193615933,135.8652025549,142.5990202416,148.9268389729,155.0413135584,160.9567373109,166.8415569526,172.3552819785,177.6902338049,182.8077759046,187.0590945403,191.8019055683,205.4789388649,216.5400142748,228.7260716859,242.0514842278,255.8137543129,267.8822737641,277.9014760253,286.447716234,293.8809567366,300.378046035
6,0.144942214,0.1045420046,0.625890297,0.8584166365,22.0592860025,22.6580850117,23.2810504403,23.9377508362,24.5105735479,25.0652138741,25.6595970115,26.2967128595,26.9509057299,27.6264192936,28.5512728972,29.1921211515,37.776554431,46.7462606177,56.7019160075,67.1430579017,78.0819651317,89.3645322946,100.9926931773,112.7214884833,124.6138596702,135.638354727,136.6196970411,141.2135077922,145.8090839307,150.2608187475,154.7008820039,159.1278475367,163.6727476688,168.0672888603,172.4643852037,176.8782159727,180.6340762943,181.8047280881,185.5170373748,189.1915975104,192.8429277135,196.6348423062,200.256906465,203.8642597529,207.4566737577,211.0339364604,214.59585357,218.1419466042
7,0.1763124088,0.0975587643,0.612681977,0.8064982075,22.0593167473,22.6609194677,23.2917351242,23.9615273282,24.5500812873,25.1231441023,25.7407100872,26.4059198446,27.0923088569,27.8042964939,28.7820614778,29.5091406033,39.2993294897,49.5974087357,61.0818273836,73.1721719298,85.8914019681,99.0662018068,112.682243809,126.4231475378,140.3382299824,153.2180596881,154.3888629755,159.8752811084,165.3584952441,170.6657726447,175.9547280972,181.2242401194,186.6300018909,191.8539043623,197.0777741553,202.3180531546,206.7778058376,208.2571015346,212.9738379716,217.6379438228,222.2678763395,227.0703305585,231.6533178664,236.2127254662,240.748188356,245.2593611854,249.7459116675,254.2070587057
8,0.0668735124,0.1060233905,0.5509553947,0.4718316466,22.0592094901,22.6510311093,23.2544602516,23.8785800253,24.4122535362,24.9210471664,25.4577368526,26.0249374501,26.5990061446,27.1837493586,27.976927069,28.5196477554,35.7458551929,43.2372087605,51.4715731062,60.0062965053,68.818916983,77.756316333,86.8058922547,95.7819168603,104.7482777665,112.9622062917,113.7844122861,117.6477972239,121.4954785265,125.2045725054,128.8848456657,132.5358506893,136.264260457,139.8503004955,143.4197485098,146.9811555001,150.0121713634,151.7603841945,157.528638509,163.1601380621,168.6788507057,174.3252224142,179.6423930553,184.8606623044,189.9793909288,194.9972963338,199.9123592642,204.7210473938
9,0.0954985725,0.1060267306,0.4993699355,0.640563825,22.0592375446,22.6536175284,23.264209943,23.9002758903,24.4483040427,24.9739080515,25.5317519066,26.1245879791,26.728035404,27.3460609278,28.1875195771,28.7628306038,36.4394732393,44.42021965,53.2259520583,62.3970918643,71.9244754868,81.6558248641,91.5848379443,101.5068899962,111.4863271569,120.6791303274,121.6990662671,126.5250949521,131.3347837586,135.9754062699,140.5832270837,145.1570401363,149.8298936937,154.3268083428,158.8047688959,163.2745431634,167.0785893427,168.6718441252,173.8315490908,178.8977700105,183.890762969,189.0294476692,193.8959214816,198.6987336513,203.4364971015,208.1076537768,212.7105631181,217.243193692
10,0.1837277034,0.0945093459,0.107969877,0.3632581569,22.0593240148,22.6615894771,23.2942607725,23.9671476214,24.5594201367,25.1368376643,25.7598836166,26.4317342194,27.1257337639,27.8463431516,28.8366156621,29.5975060979,39.8634538935,50.6892369709,62.7790393432,75.5175965969,88.9305253186,102.8318427742,117.1922228286,131.6623701879,146.2862139932,159.8030698256,164.7559620199,189.3815007864,213.7356369172,236.8700572008,258.294750962,277.7565537861,296.6338098765,314.127590213,330.9993973118,347.2852028822,361.1091224816,368.8365239377,392.792839449,414.9242774846,437.7166053888,459.5178303367,478.3149631692,495.1053527822,509.9822234173,523.2054243363,535.0656839644,545.7714012643
